unidade;mes;ano;grau;escore;predicao_obito;saidas;obitos_ocorridos;obitos_esperados
HJK;Junho;2023;II;5 a 9;8;11;1;0,88
HJK;Junho;2023;III;10 a 14;15;21;2;3,15
HJK;Junho;2023;IV;15 a 19;25;27;4;6,75
HJK;Junho;2023;V;20 a 24;40;19;6;7,6
HJK;Junho;2023;VI;25 a 29;55;18;1;9,9
HJK;Junho;2023;VII;30 a 34;75;5;1;3,75
HJK;Junho;2023;VIII;> 34;85;2;1;1,7
HJK;Julho;2023;I;0 a 4;4;0;0;0
HJK;Julho;2023;II;5 a 9;8;4;0;0,32
HJK;Julho;2023;III;10 a 14;15;28;1;4,2
HJK;Julho;2023;IV;15 a 19;25;18;2;4,5
HJK;Julho;2023;V;20 a 24;40;15;3;6
HJK;Julho;2023;VI;25 a 29;55;12;3;6,6
HJK;Julho;2023;VII;30 a 34;75;9;4;6,75
HJK;Julho;2023;VIII;> 34;85;1;1;0,85
HJK;Agosto;2023;I;0 a 4;4;2;0;0,08
HJK;Agosto;2023;II;5 a 9;8;11;0;0,88
HJK;Agosto;2023;III;10 a 14;15;26;1;3,9
HJK;Agosto;2023;IV;15 a 19;25;39;3;9,75
HJK;Agosto;2023;V;20 a 24;40;24;7;9,6
HJK;Agosto;2023;VI;25 a 29;55;13;2;7,15
HJK;Agosto;2023;VII;30 a 34;75;12;4;9
HJK;Agosto;2023;VIII;> 34;85;2;2;1,7
HJK;Setembro;2023;I;0 a 4;4;4;0;0,16
HJK;Setembro;2023;II;5 a 9;8;11;0;0,88
HJK;Setembro;2023;III;10 a 14;15;27;1;4,05
HJK;Setembro;2023;IV;15 a 19;25;34;4;8,5
HJK;Setembro;2023;V;20 a 24;40;16;5;6,4
HJK;Setembro;2023;VI;25 a 29;55;15;6;8,25
HJK;Setembro;2023;VII;30 a 34;75;4;2;3
HJK;Setembro;2023;VIII;> 34;85;3;0;2,55
HJXXIII;Janeiro;2023;I;0 a 4;4;13;0;0,52
HJXXIII;Janeiro;2023;II;5 a 9;8;31;1;2,48
HJXXIII;Janeiro;2023;III;10 a 14;15;50;2;7,5
HJXXIII;Janeiro;2023;IV;15 a 19;25;32;3;8
HJXXIII;Janeiro;2023;V;20 a 24;40;13;4;5,2
HJXXIII;Janeiro;2023;VI;25 a 29;55;9;4;4,95
HJXXIII;Janeiro;2023;VII;30 a 34;75;3;3;2,25
HJXXIII;Janeiro;2023;VIII;> 34;85;1;1;0,85
HJXXIII;Fevereiro;2023;I;0 a 4;4;16;0;0,64
HJXXIII;Fevereiro;2023;II;5 a 9;8;28;2;2,24
HJXXIII;Fevereiro;2023;III;10 a 14;15;30;2;4,5
HJXXIII;Fevereiro;2023;IV;15 a 19;25;26;7;6,5
HJXXIII;Fevereiro;2023;V;20 a 24;40;14;6;5,6
HJXXIII;Fevereiro;2023;VI;25 a 29;55;9;8;4,95
HJXXIII;Fevereiro;2023;VII;30 a 34;75;2;2;1,5
HJXXIII;Fevereiro;2023;VIII;> 34;85;0;0;0
HJXXIII;Março;2023;I;0 a 4;4;12;0;0,48
HJXXIII;Março;2023;II;5 a 9;8;24;0;1,92
HJXXIII;Março;2023;III;10 a 14;15;41;2;6,15
HJXXIII;Março;2023;IV;15 a 19;25;43;5;10,75
HJXXIII;Março;2023;V;20 a 24;40;26;4;10,4
HJXXIII;Março;2023;VI;25 a 29;55;13;6;7,15
HJXXIII;Março;2023;VII;30 a 34;75;2;0;1,5
HJXXIII;Março;2023;VIII;> 34;85;1;0;0,85
HJXXIII;Abril;2023;I;0 a 4;4;21;0;0,84
HJXXIII;Abril;2023;II;5 a 9;8;36;1;2,88
HJXXIII;Abril;2023;III;10 a 14;15;28;3;4,2
HJXXIII;Abril;2023;IV;15 a 19;25;32;6;8
HJXXIII;Abril;2023;V;20 a 24;40;15;5;6
HJXXIII;Abril;2023;VI;25 a 29;55;11;4;6,05
HJXXIII;Abril;2023;VII;30 a 34;75;1;1;0,75
HJXXIII;Abril;2023;VIII;> 34;85;3;0;2,55
HJXXIII;Maio;2023;I;0 a 4;4;8;1;0,32
HJXXIII;Maio;2023;II;5 a 9;8;27;3;2,16
HJXXIII;Maio;2023;III;10 a 14;15;38;2;5,7
HJXXIII;Maio;2023;IV;15 a 19;25;53;9;13,25
HJXXIII;Maio;2023;V;20 a 24;40;18;4;7,2
HJXXIII;Maio;2023;VI;25 a 29;55;10;5;5,5
HJXXIII;Maio;2023;VII;30 a 34;75;2;1;1,5
HJXXIII;Maio;2023;VIII;> 34;85;1;1;0,85
HJXXIII;Junho;2023;I;0 a 4;4;10;0;0,4
HJXXIII;Junho;2023;II;5 a 9;8;13;0;1,04
HJXXIII;Junho;2023;III;10 a 14;15;42;5;6,3
HJXXIII;Junho;2023;IV;15 a 19;25;27;3;6,75
HJXXIII;Junho;2023;V;20 a 24;40;24;4;9,6
HJXXIII;Junho;2023;VI;25 a 29;55;8;3;4,4
HJXXIII;Junho;2023;VII;30 a 34;75;3;3;2,25
